skill_name,auc,n,correct_rate
Scientific Notation,0.8077846708024814,358,0.7346368715083799
Pattern Finding ,0.8021511097598055,917,0.623773173391494
Finding Percents,0.7977061231064351,1654,0.5193470374848851
Effect of Changing Dimensions of a Shape Prportionally,0.7868483278910032,190,0.5631578947368421
Percents,0.7782608695652175,33,0.30303030303030304
Addition and Subtraction Fractions,0.7719937953970655,2312,0.6375432525951558
Prime Number,0.7548996458087367,156,0.7756410256410257
Mode,0.7547503201024328,410,0.8658536585365854
Addition and Subtraction Positive Decimals,0.7540049351768439,1117,0.5666965085049239
Rounding,0.748447204968944,228,0.706140350877193
Scatter Plot,0.7397887323943662,319,0.890282131661442
Subtraction Whole Numbers,0.7344027575904393,976,0.7049180327868853
Divisibility Rules,0.7340938303341902,637,0.6106750392464678
Equivalent Fractions,0.7253256626724764,594,0.48484848484848486
Ordering Fractions,0.724668079479795,1819,0.7883452446399121
Congruence,0.7185457516339869,114,0.8947368421052632
Mean,0.7183219592468901,575,0.5060869565217392
Ordering Positive Decimals,0.7171951790422146,1634,0.7288861689106487
Multiplication and Division Positive Decimals,0.7167576611482916,436,0.7660550458715596
Stem and Leaf Plot,0.7154000600877868,788,0.6738578680203046
Addition and Subtraction Integers,0.713818434431577,2883,0.5501214013180714
Proportion,0.7131795745785001,1727,0.6502605674580196
Write Linear Equation from Graph,0.710206155632985,373,0.450402144772118
Reflection,0.705357142857143,84,0.3333333333333333
Write Linear Equation from Situation,0.7034632034632036,254,0.8267716535433071
Circle Graph,0.7026045505921668,1277,0.5207517619420516
Equation Solving Two or Fewer Steps,0.6989998867860606,3235,0.6596599690880989
Equation Solving More Than Two Steps,0.6987257002026901,860,0.6232558139534884
Multiplication and Division Integers,0.6944142676081839,1388,0.7579250720461095
Median,0.6908550028366044,1097,0.6362807657247037
Percent Of,0.6877416280061858,1926,0.5856697819314641
Division Fractions,0.6842768227623,745,0.676510067114094
Surface Area Rectangular Prism,0.6840759118113459,286,0.6048951048951049
Solving Systems of Linear Equations,0.679093567251462,55,0.34545454545454546
Complementary and Supplementary Angles,0.6770692281651997,323,0.653250773993808
Range,0.6757597623089984,810,0.7654320987654321
Conversion of Fraction Decimals Percents,0.6683822141539354,3764,0.6517003188097769
Multiplication Fractions,0.6636892910343201,1087,0.6430542778288868
Absolute Value,0.6630488971529434,1324,0.783987915407855
Rotations,0.6604395604395604,79,0.17721518987341772
Ordering Real Numbers,0.6587021531100479,289,0.7231833910034602
Box and Whisker,0.6572191154041688,737,0.762550881953867
Order of Operations All,0.6547674506787428,624,0.6137820512820513
Volume Rectangular Prism,0.6545943708609272,183,0.825136612021858
Table,0.6543565340570912,1295,0.7227799227799228
Area Trapezoid,0.6537469287469286,184,0.5978260869565217
Unit Rate,0.6524888424061053,628,0.428343949044586
"Order of Operations +,-,/,* () positive reals",0.652056052292154,456,0.6732456140350878
Area Irregular Figure,0.6514225500526869,138,0.5289855072463768
Addition Whole Numbers,0.6508911083637778,939,0.7944621938232161
Area Rectangle,0.6506944444444445,89,0.898876404494382
Solving for a variable,0.6499087035909921,451,0.5875831485587583
Probability of a Single Event,0.6451935446146649,1346,0.7473997028231798
Histogram as Table or Graph,0.6437231624147511,329,0.6747720364741642
Estimation,0.6389160633926824,345,0.7797101449275362
Pythagorean Theorem,0.633430134840572,1116,0.6353046594982079
Surface Area Cylinder,0.626060606060606,108,0.3055555555555556
Calculations with Similar Figures,0.6204337130903965,1015,0.683743842364532
Interior Angles Figures with More than 3 Sides,0.6191400632729365,175,0.6514285714285715
Volume Cylinder,0.6160406403940887,256,0.546875
Least Common Multiple,0.6155829326923077,608,0.6578947368421053
Probability of Two Distinct Events,0.6135953696515823,1450,0.49517241379310345
Nets of 3D Figures,0.6041666666666666,49,0.9795918367346939
Circumference ,0.6028296207104153,426,0.6455399061032864
Write Linear Equation from Ordered Pairs,0.5954594594594594,273,0.5421245421245421
Counting Methods,0.5925675115970842,983,0.5116988809766022
Exponents,0.5896651669110089,584,0.7756849315068494
Square Root,0.5872508316356791,1189,0.7922624053826746
Number Line,0.5850525827404887,517,0.5899419729206963
Solving Inequalities,0.5844030312403341,517,0.5899419729206963
Ordering Integers,0.5833954883728639,626,0.8099041533546326
Algebraic Solving,0.5778378378378379,112,0.33035714285714285
Perimeter of a Polygon,0.5742498469075321,117,0.6068376068376068
Translations,0.5730555555555555,85,0.47058823529411764
Interior Angles Triangle,0.571578947368421,125,0.76
Volume Sphere,0.5662083015024191,128,0.6015625
Area Circle,0.5629350999326298,207,0.7053140096618358
Scale Factor,0.5504385964912282,62,0.6129032258064516
Solving Systems of Linear Equations by Graphing,0.5287114845938375,65,0.7846153846153846
Unit Conversion Within a System,0.527987421383648,309,0.5145631067961165
Venn Diagram,0.5137448173976585,1104,0.7083333333333334
Angles on Parallel Lines Cut by a Transversal,0.5080862533692723,60,0.8833333333333333
D.4.8-understanding-concept-of-probabilities,0.5057720057720058,74,0.8513513513513513
Fraction Of,0.49852507374631266,125,0.904
Greatest Common Factor,0.4944903581267217,44,0.75
Multiplication Whole Numbers,0.45416666666666666,34,0.29411764705882354
Area Triangle,0.4041666666666667,53,0.9056603773584906
"Angles - Obtuse, Acute, and Right",0.2805232558139535,51,0.8431372549019608
