user_id,rank,recommended_skill,mastery_prob,explanation
14,1,Median,0.1263523486750284,Student shows low estimated mastery (13%) on 'Median'. Recommend revisiting this skill before progressing. (Teacher review required.)
14,2,Finding Percents,0.2062375609599458,Student shows low estimated mastery (21%) on 'Finding Percents'. Recommend revisiting this skill before progressing. (Teacher review required.)
14,3,Proportion,0.2701002197111083,Student shows low estimated mastery (27%) on 'Proportion'. Recommend revisiting this skill before progressing. (Teacher review required.)
14,4,Percent Of,0.338310408691042,Student shows low estimated mastery (34%) on 'Percent Of'. Recommend revisiting this skill before progressing. (Teacher review required.)
14,5,Circle Graph,0.6212390861612963,Student shows low estimated mastery (62%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
21825,1,Median,0.5360651531257835,Student shows low estimated mastery (54%) on 'Median'. Recommend revisiting this skill before progressing. (Teacher review required.)
53167,1,Estimation,0.292421467296832,Student shows low estimated mastery (29%) on 'Estimation'. Recommend revisiting this skill before progressing. (Teacher review required.)
53167,2,Ordering Real Numbers,0.4036725740731556,Student shows low estimated mastery (40%) on 'Ordering Real Numbers'. Recommend revisiting this skill before progressing. (Teacher review required.)
53167,3,Finding Percents,0.4046676707020954,Student shows low estimated mastery (40%) on 'Finding Percents'. Recommend revisiting this skill before progressing. (Teacher review required.)
53167,4,Median,0.4442261517200749,Student shows low estimated mastery (44%) on 'Median'. Recommend revisiting this skill before progressing. (Teacher review required.)
53167,5,Subtraction Whole Numbers,0.4701145455464233,Student shows low estimated mastery (47%) on 'Subtraction Whole Numbers'. Recommend revisiting this skill before progressing. (Teacher review required.)
58161,1,Equation Solving More Than Two Steps,0.7214807232064069,Student shows low estimated mastery (72%) on 'Equation Solving More Than Two Steps'. Recommend revisiting this skill before progressing. (Teacher review required.)
64525,1,Rotations,0.2209841315525854,Student shows low estimated mastery (22%) on 'Rotations'. Recommend revisiting this skill before progressing. (Teacher review required.)
64525,2,Area Trapezoid,0.6567048405019229,Student shows low estimated mastery (66%) on 'Area Trapezoid'. Recommend revisiting this skill before progressing. (Teacher review required.)
